Airline,Source,Destination,Additional_Info,Date,Month,Year,Stop,Arrival_Hour,Arrival_Minute,Dep_Hour,Dep_Minute,Route_1,Route_2,Route_3,Route_4,Route_5,Price
4,2,1,8,6,6,2019,1,4,25,17,30,3,7,6,12,4,14576.952
3,3,0,8,12,5,2019,1,10,20,6,20,2,33,3,12,4,4320.9087
4,2,1,5,21,5,2019,1,19,0,19,15,3,7,6,12,4,12752.556
6,2,1,8,21,5,2019,1,21,0,8,0,3,7,6,12,4,11502.625
0,0,2,8,24,6,2019,0,2,45,23,55,0,13,24,12,4,3475.4895
4,2,1,5,12,6,2019,1,12,35,18,15,3,7,6,12,4,10118.569
1,0,5,8,12,3,2019,1,22,35,7,30,0,41,8,12,4,9276.154
3,3,0,8,1,5,2019,1,20,30,15,15,2,20,3,12,4,5341.3325
3,3,0,8,15,3,2019,0,12,55,10,10,2,5,24,12,4,4640.7803
4,3,0,8,18,5,2019,1,22,35,16,30,2,7,3,12,4,14883.213
4,2,1,5,21,3,2019,2,18,50,13,55,3,33,4,5,4,9520.06
3,2,1,8,15,6,2019,1,16,10,6,50,3,20,6,12,4,6513.517
6,2,1,8,15,5,2019,1,19,15,9,0,3,7,6,12,4,14259.599
4,0,5,8,12,3,2019,1,10,25,5,45,0,7,8,12,4,14413.631
4,2,1,5,3,6,2019,1,12,35,19,15,3,7,6,12,4,10116.179
4,0,5,8,6,3,2019,1,8,15,21,25,0,7,8,12,4,15875.613
6,2,1,8,6,6,2019,1,22,30,13,15,3,20,6,12,4,8755.6875
10,3,0,8,24,3,2019,1,22,10,9,55,2,14,3,12,4,12365.992
4,2,1,5,12,6,2019,1,4,25,19,15,3,7,6,12,4,10036.484
4,0,5,8,12,3,2019,1,8,15,22,55,0,7,8,12,4,12980.144
3,2,1,8,6,3,2019,1,1,35,10,45,3,7,6,12,4,13828.51
4,3,0,5,9,5,2019,1,10,5,20,0,2,7,3,12,4,8488.668
4,0,5,5,18,3,2019,1,9,0,21,25,0,7,8,12,4,10878.545
4,2,1,5,9,5,2019,2,19,0,5,30,3,28,4,5,4,13044.786
1,0,2,8,6,4,2019,0,23,55,21,5,0,13,24,12,4,5036.7837
4,2,1,5,21,3,2019,1,4,25,16,0,3,7,6,12,4,7475.945
3,3,0,8,15,5,2019,0,17,45,15,15,2,5,24,12,4,4887.3257
4,2,1,8,21,5,2019,1,19,0,17,30,3,7,6,12,4,15560.581
4,2,1,5,6,6,2019,1,4,25,9,0,3,7,6,12,4,10219.212
6,2,1,8,1,6,2019,1,21,0,14,0,3,7,6,12,4,12897.786
0,3,0,8,3,3,2019,0,1,20,22,50,2,5,24,12,4,5719.706
6,2,1,8,27,3,2019,1,1,35,13,55,3,7,6,12,4,8259.618
4,2,1,8,15,6,2019,2,12,35,5,30,3,4,4,5,4,14829.762
4,0,2,8,12,6,2019,0,22,50,19,50,0,13,24,12,4,7643.36
4,4,3,5,15,3,2019,0,8,35,7,10,1,19,24,12,4,4771.32
8,0,2,7,15,6,2019,0,8,35,5,55,0,13,24,12,4,3886.9622
4,4,3,8,18,3,2019,0,8,35,7,10,1,19,24,12,4,7697.7515
4,0,5,8,6,3,2019,1,23,0,16,55,0,7,8,12,4,16756.059
4,3,0,5,9,5,2019,1,12,0,18,55,2,7,3,12,4,10111.021
6,2,1,8,15,5,2019,1,21,0,10,20,3,7,6,12,4,8493.343
8,3,0,8,12,5,2019,0,19,40,17,10,2,5,24,12,4,4083.0
6,2,1,8,15,5,2019,1,1,30,13,0,3,7,6,12,4,10922.955
8,4,3,8,9,6,2019,0,0,15,22,45,1,19,24,12,4,2019.5424
1,2,1,8,15,6,2019,1,7,40,8,0,3,7,6,12,4,8261.972
3,3,0,8,1,5,2019,1,2,15,21,0,2,38,3,12,4,6672.231
8,1,4,7,24,3,2019,0,20,5,17,45,4,8,24,12,4,4119.616
4,2,1,8,3,3,2019,1,18,50,19,15,3,7,6,12,4,16945.63
1,4,3,8,3,5,2019,0,15,25,13,55,1,19,24,12,4,3363.7458
4,3,0,8,1,4,2019,1,22,35,18,55,2,7,3,12,4,12450.243
6,2,1,8,3,6,2019,1,21,0,7,30,3,7,6,12,4,8331.246
1,3,0,8,12,5,2019,2,13,45,9,25,2,7,7,3,4,12867.022
4,3,0,5,1,4,2019,1,19,50,14,5,2,7,3,12,4,8053.2017
4,3,0,8,24,3,2019,1,16,20,13,55,2,7,3,12,4,14351.679
4,0,5,8,18,3,2019,1,11,25,5,45,0,7,8,12,4,12201.322
8,1,4,8,18,6,2019,0,12,0,9,45,4,8,24,12,4,3633.983
4,0,2,8,15,4,2019,0,18,10,15,15,0,13,24,12,4,7244.26
3,2,1,8,18,5,2019,1,7,45,2,0,3,6,6,12,4,6605.7856
