Additional_Info,Airline,Destination,Source,Date,Month,Year,Stop,Arrival_Hour,Arrival_Minute,Dep_Hour,Dep_Minute,Route_1,Route_2,Route_3,Route_4,Route_5,Price
8,4,1,2,6,6,2019,1,4,25,17,30,3,7,6,12,4,25819.727
8,3,0,3,12,5,2019,1,10,20,6,20,2,33,3,12,4,48390.33
5,4,1,2,21,5,2019,1,19,0,19,15,3,7,6,12,4,34840.645
8,6,1,2,21,5,2019,1,21,0,8,0,3,7,6,12,4,29311.746
8,0,2,0,24,6,2019,0,2,45,23,55,0,13,24,12,4,2327.6245
5,4,1,2,12,6,2019,1,12,35,18,15,3,7,6,12,4,34480.97
8,1,5,0,12,3,2019,1,22,35,7,30,0,41,8,12,4,14027.983
8,3,0,3,1,5,2019,1,20,30,15,15,2,20,3,12,4,48472.65
8,3,0,3,15,3,2019,0,12,55,10,10,2,5,24,12,4,22323.656
8,4,0,3,18,5,2019,1,22,35,16,30,2,7,3,12,4,45265.473
5,4,1,2,21,3,2019,2,18,50,13,55,3,33,4,5,4,33531.88
8,3,1,2,15,6,2019,1,16,10,6,50,3,20,6,12,4,27148.14
8,6,1,2,15,5,2019,1,19,15,9,0,3,7,6,12,4,30259.186
8,4,5,0,12,3,2019,1,10,25,5,45,0,7,8,12,4,28598.229
5,4,1,2,3,6,2019,1,12,35,19,15,3,7,6,12,4,35442.703
8,4,5,0,6,3,2019,1,8,15,21,25,0,7,8,12,4,18376.91
8,6,1,2,6,6,2019,1,22,30,13,15,3,20,6,12,4,25393.89
8,10,0,3,24,3,2019,1,22,10,9,55,2,14,3,12,4,46768.19
5,4,1,2,12,6,2019,1,4,25,19,15,3,7,6,12,4,32988.02
8,4,5,0,12,3,2019,1,8,15,22,55,0,7,8,12,4,16418.33
8,3,1,2,6,3,2019,1,1,35,10,45,3,7,6,12,4,48013.23
5,4,0,3,9,5,2019,1,10,5,20,0,2,7,3,12,4,60430.887
5,4,5,0,18,3,2019,1,9,0,21,25,0,7,8,12,4,18004.246
5,4,1,2,9,5,2019,2,19,0,5,30,3,28,4,5,4,41329.543
8,1,2,0,6,4,2019,0,23,55,21,5,0,13,24,12,4,1835.8374
5,4,1,2,21,3,2019,1,4,25,16,0,3,7,6,12,4,33367.336
8,3,0,3,15,5,2019,0,17,45,15,15,2,5,24,12,4,19082.191
8,4,1,2,21,5,2019,1,19,0,17,30,3,7,6,12,4,27857.738
5,4,1,2,6,6,2019,1,4,25,9,0,3,7,6,12,4,41851.07
8,6,1,2,1,6,2019,1,21,0,14,0,3,7,6,12,4,27888.586
8,0,0,3,3,3,2019,0,1,20,22,50,2,5,24,12,4,21454.639
8,6,1,2,27,3,2019,1,1,35,13,55,3,7,6,12,4,26758.033
8,4,1,2,15,6,2019,2,12,35,5,30,3,4,4,5,4,30705.152
8,4,2,0,12,6,2019,0,22,50,19,50,0,13,24,12,4,187.22708
5,4,3,4,15,3,2019,0,8,35,7,10,1,19,24,12,4,9712.96
7,8,2,0,15,6,2019,0,8,35,5,55,0,13,24,12,4,3160.1318
8,4,3,4,18,3,2019,0,8,35,7,10,1,19,24,12,4,8354.795
8,4,5,0,6,3,2019,1,23,0,16,55,0,7,8,12,4,14610.462
5,4,0,3,9,5,2019,1,12,0,18,55,2,7,3,12,4,55671.406
8,6,1,2,15,5,2019,1,21,0,10,20,3,7,6,12,4,27593.807
8,8,0,3,12,5,2019,0,19,40,17,10,2,5,24,12,4,14978.229
8,6,1,2,15,5,2019,1,1,30,13,0,3,7,6,12,4,25689.588
